gene,f_val,p_val,significance
ENSMUSG00000000001,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000003,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000028,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000031,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000037,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000049,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000056,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000058,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000078,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000085,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000088,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000093,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000094,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000103,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000120,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000125,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000126,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000127,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000131,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000134,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000142,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000148,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000149,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000154,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000157,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000159,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000167,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000168,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000171,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000182,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000183,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000184,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000194,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000197,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000202,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000204,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000214,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000215,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000216,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000223,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000244,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000247,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000248,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000253,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000263,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000266,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000275,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000276,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000278,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000282,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000290,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000295,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000296,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000301,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000303,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000305,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000308,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000317,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000318,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000320,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000325,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000326,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000339,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000340,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000346,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000355,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000359,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000365,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000374,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000378,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000381,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000384,5.579856115107913,0.061425632866321314,0
ENSMUSG00000000385,5.579856115107913,0.061425632866321314,0
