gene,f_val,p_val,significance
ENSMUSG00000000001,1.2466696941101956,0.3257918644676554,0
ENSMUSG00000000003,,,0
ENSMUSG00000000028,1.120112206759344,0.37030336482316395,0
ENSMUSG00000000031,0.7439708890772633,0.5414064380519518,0
ENSMUSG00000000037,0.43730041152522586,0.7293616545429149,0
ENSMUSG00000000049,0.8876511515609813,0.4685922484761459,0
ENSMUSG00000000056,1.8852979324684025,0.17277049745547773,0
ENSMUSG00000000058,0.13428617105044202,0.9381765106618077,0
ENSMUSG00000000078,1.1869002304036336,0.34608780001589373,0
ENSMUSG00000000085,0.4180704186856718,0.7424658575062554,0
ENSMUSG00000000088,2.732396118618222,0.07810755917901425,0
ENSMUSG00000000093,3.9832413119505836,0.026940916920821168,1
ENSMUSG00000000094,0.8930157894667382,0.46606001220561666,0
ENSMUSG00000000103,,,0
ENSMUSG00000000120,0.8663995441904356,0.47875288544342887,0
ENSMUSG00000000125,3.5712955198858967,0.03773402283938058,1
ENSMUSG00000000126,4.325841087420428,0.02055267535325275,1
ENSMUSG00000000127,0.7703646444505693,0.527296559427013,0
ENSMUSG00000000131,6.875782203624705,0.0034599754039225574,1
ENSMUSG00000000134,2.1252949255052362,0.13714408003693646,0
ENSMUSG00000000142,3.2908649628191484,0.04781885436947581,1
ENSMUSG00000000148,0.9603069843569474,0.4353949453310494,0
ENSMUSG00000000149,1.395061270995641,0.2805578069787423,0
ENSMUSG00000000154,0.87170465842442,0.4761970251320443,0
ENSMUSG00000000157,,,0
ENSMUSG00000000159,1.7971929339357404,0.18826860511193286,0
ENSMUSG00000000167,0.7553211151250422,0.5352976490665309,0
ENSMUSG00000000168,1.4148303531254467,0.2750467398667897,0
ENSMUSG00000000171,5.783582575309301,0.0070891479704933355,1
ENSMUSG00000000182,0.2587145980056388,0.8540299084017876,0
ENSMUSG00000000183,,,0
ENSMUSG00000000184,4.495898153227439,0.018024417089513318,1
ENSMUSG00000000194,0.06939039043544422,0.9754436868118036,0
ENSMUSG00000000197,1.3405557166979443,0.296360226001296,0
ENSMUSG00000000202,3.3254448318985403,0.04642674398472073,1
ENSMUSG00000000204,1.1420477691064097,0.36216562235100763,0
ENSMUSG00000000214,1.0859835211600655,0.3833340006838598,0
ENSMUSG00000000215,,,0
ENSMUSG00000000216,0.8497465373432982,0.4868603689465383,0
ENSMUSG00000000223,2.478985182955441,0.09842591888668555,0
ENSMUSG00000000244,1.3876936950341916,0.28264122383830886,0
ENSMUSG00000000247,2.406622775417021,0.10524824325345505,0
ENSMUSG00000000248,0.8690052214715761,0.47749592034412813,0
ENSMUSG00000000253,2.909972737251909,0.06663797990140426,0
ENSMUSG00000000263,0.30457161846900294,0.8216818076748988,0
ENSMUSG00000000266,0.110537793261513,0.9526901944088672,0
ENSMUSG00000000275,0.30457680123548075,0.8216781482315217,0
ENSMUSG00000000276,1.6434624368135056,0.21901120966033122,0
ENSMUSG00000000278,2.5592769200351695,0.09141951918434899,0
ENSMUSG00000000282,0.625634333569199,0.6087998775621899,0
ENSMUSG00000000290,0.4538553158771102,0.7181809569971576,0
ENSMUSG00000000295,0.8503785913216036,0.4865503059371534,0
ENSMUSG00000000296,0.8182121280382859,0.5025670886808813,0
ENSMUSG00000000301,1.050252691614335,0.3974708891839626,0
ENSMUSG00000000303,0.4869616167820118,0.6961254993390357,0
ENSMUSG00000000305,1.4257351866951993,0.27205557336153524,0
ENSMUSG00000000308,0.22417912200926446,0.8781825219831185,0
ENSMUSG00000000317,3.7968692097518364,0.031327096945247206,1
ENSMUSG00000000318,2.908124874367444,0.06674729284128261,0
ENSMUSG00000000320,1.7426122602409717,0.1986168852957777,0
ENSMUSG00000000325,1.6962737393319411,0.2078827625941097,0
ENSMUSG00000000326,1.8195520258471922,0.18419839138787159,0
ENSMUSG00000000339,0.35642008619160387,0.7851902398794814,0
ENSMUSG00000000340,0.645037955618881,0.5972872835570617,0
ENSMUSG00000000346,2.114167527271107,0.13860619842632374,0
ENSMUSG00000000355,1.0747525735240868,0.3877223232738894,0
ENSMUSG00000000359,2.4359447736610695,0.10242311856842608,0
ENSMUSG00000000365,0.8926763822027123,0.4662198322629113,0
ENSMUSG00000000374,1.3892317698130665,0.2822049478586773,0
ENSMUSG00000000378,2.786844193169905,0.07437441530860739,0
ENSMUSG00000000381,,,0
ENSMUSG00000000384,0.4816450391424997,0.6996388769514226,0
ENSMUSG00000000385,1.4974990810991775,0.2532068635797761,0
ENSMUSG00000000386,1.0910989342994761,0.38135181820532826,0
ENSMUSG00000000392,2.3225756601813234,0.11383082009213441,0
ENSMUSG00000000394,2.8681540534603682,0.06916102067378521,0
ENSMUSG00000000399,3.970323405893774,0.027221793026738963,1
ENSMUSG00000000402,2.208628837260864,0.12671435090003347,0
ENSMUSG00000000409,1.3363419339961822,0.29762003021101224,0
ENSMUSG00000000411,0.7021295540976767,0.5644628830409673,0
ENSMUSG00000000416,4.194257224494677,0.022781459384395443,1
ENSMUSG00000000420,2.1673332786013124,0.131770232620226,0
ENSMUSG00000000435,0.6732053615139865,0.5808961625135145,0
ENSMUSG00000000439,0.41230939737654376,0.7464146472098288,0
ENSMUSG00000000440,0.8194444391748298,0.5019445294756071,0
ENSMUSG00000000441,0.751961079270869,0.5370995858381535,0
ENSMUSG00000000486,0.4409646816706093,0.7268786409960859,0
ENSMUSG00000000489,2.8346563780197243,0.07125825582778034,0
ENSMUSG00000000530,1.7721412785355064,0.19294438718206303,0
ENSMUSG00000000531,0.836851606430901,0.49322681146568914,0
ENSMUSG00000000532,0.46553971836866825,0.7103491847328703,0
ENSMUSG00000000538,2.231104717948382,0.12405195001627432,0
ENSMUSG00000000544,0.9999999999999999,0.41823758399590105,0
ENSMUSG00000000552,1.1374726150199264,0.36384782099564855,0
ENSMUSG00000000555,0.18521280032292212,0.9048935789437884,0
ENSMUSG00000000560,1.227263520599769,0.33224385247815547,0
ENSMUSG00000000561,0.24182399844078456,0.8658807508672094,0
ENSMUSG00000000562,1.0309689248744713,0.40531584150627503,0
ENSMUSG00000000563,1.1965934865048047,0.342710069148844,0
